store_email,user_name,user_icon_path,rating,body,visited_at
wakuwaku@example.com,Haru,/images/users/user01.png,4.5,雰囲気が最高。写真も撮りやすい！,2026-01-20
wakuwaku@example.com,Aoi,/images/users/user02.png,4.0,ラテが濃いめで好き。席も落ち着く。,2026-01-18

coffee_inko@example.com,Yui,/images/users/user03.png,4.2,コーヒーの香りが良くて朝にぴったり。,2026-01-12
threecafe@example.com,Sora,/images/users/user04.png,4.0,どの時間帯でも入りやすい安心感。,2026-01-15
sleeping@example.com,Rin,/images/users/user05.png,4.6,炭焼きの香ばしさがクセになる。,2026-01-22
higashimiti@example.com,Mao,/images/users/user06.png,4.3,静かで一人でも過ごしやすかった。,2026-01-19
damonde@example.com,Aya,/images/users/user07.png,4.1,ヘルシーだけど満足感あり。,2026-01-17
graph@example.com,Kota,/images/users/user08.png,4.4,レトロ感が良い。ナポリタン美味しい。,2026-01-21
shop_cafe@example.com,Noa,/images/users/user09.png,4.2,女子会にちょうどいい雰囲気。,2026-01-16
tea@example.com,Hina,/images/users/user10.png,4.0,紅茶の種類が多くて楽しい。,2026-01-14
can_coffee@example.com,Haru,/images/users/user01.png,4.3,デートで使いやすい落ち着いた空間。,2026-01-23

happy@example.com,Aoi,/images/users/user02.png,4.1,店内が明るくて気分が上がる。,2026-01-11
coffee_karasu@example.com,Yui,/images/users/user03.png,4.4,昔ながらの味でほっとする。,2026-01-10
muddyshop@example.com,Sora,/images/users/user04.png,3.9,スイーツがちょうどいい甘さ。,2026-01-18
walking@example.com,Rin,/images/users/user05.png,4.2,朝早く行けるのが助かる。,2026-01-09
nishishop@example.com,Mao,/images/users/user06.png,4.0,落ち着いた雰囲気で長居できた。,2026-01-13
neckless@example.com,Aya,/images/users/user07.png,4.3,ラテが香ばしくて美味しい。,2026-01-22
circle@example.com,Kota,/images/users/user08.png,4.1,ペットと一緒に入れるのが嬉しい。,2026-01-20
shop_cafe_yaba@example.com,Noa,/images/users/user09.png,4.4,写真映えするメニューが多い。,2026-01-24
yaba_tea@example.com,Hina,/images/users/user10.png,4.0,ゆっくり紅茶を楽しめる。,2026-01-19
ran_coffee@example.com,Haru,/images/users/user01.png,4.2,夜でも落ち着いて過ごせた。,2026-01-25

cozy_beans@example.com,Aoi,/images/users/user02.png,4.5,一人時間にぴったりの空間。,2026-01-18
lunatea@example.com,Yui,/images/users/user03.png,4.3,紅茶の香りが印象的。,2026-01-21
midnight@example.com,Sora,/images/users/user04.png,4.1,夜カフェとしてちょうどいい。,2026-01-26
knotworks@example.com,Rin,/images/users/user05.png,4.0,作業しやすくて集中できた。,2026-01-14
retro_tsuru@example.com,Mao,/images/users/user06.png,4.4,懐かしい雰囲気が心地いい。,2026-01-16
petitsucre@example.com,Aya,/images/users/user07.png,4.6,スイーツが本当に可愛い。,2026-01-23
hygge@example.com,Kota,/images/users/user08.png,4.2,ゆったり過ごせて癒された。,2026-01-20
datebeans@example.com,Noa,/images/users/user09.png,4.5,デートにぴったりな空間。,2026-01-27
